Name,Latitude,Longitude
Grand Canyon,36.104916,-112.129861
Great Barrier Reef,-18.179452,147.916827
Harbor at Rio de Janeiro,-22.737298,-43.132355
Mount Everest,27.987887,86.925069
Northern Lights,,
Paricutin Volcano,19.493,-102.251
Victoria Falls,-17.924299,25.857211
