Location,Year,Rate
Georgia,2003,22.8
Georgia,2004,19.9
Georgia,2005,22.1
Georgia,2006,19.9
Georgia,2007,19.4
Georgia,2008,19.5
Georgia,2009,17.7
Hawaii,1984,NA
Hawaii,1986,24.4
Hawaii,1988,23.6
Hawaii,1990,21.1
Hawaii,1992,19.9
Hawaii,1993,18.9
Hawaii,1995,17.8
Hawaii,1996,NA
Hawaii,1997,18.6
Hawaii,1998,19.5
Hawaii,1999,18.6
Hawaii,2000,19.7
Hawaii,2001,20.6
Hawaii,2002,21
Hawaii,2003,17.2
Hawaii,2004,17.2
Hawaii,2005,17
Hawaii,2006,17.5
Hawaii,2007,17
Hawaii,2008,15.4
Hawaii,2009,15.4
Idaho,1984,24.5
Idaho,1986,23.4
Idaho,1988,20.1
Idaho,1990,20.4
Idaho,1992,19.4
Idaho,1993,20.2
Idaho,1995,19.8
Idaho,1996,21.2
Idaho,1997,19.9
Idaho,1998,20.3
Idaho,1999,21.5
Idaho,2000,22.3
Idaho,2001,19.7
Idaho,2002,20.6
Idaho,2003,19
Idaho,2004,17.4
Idaho,2005,17.9
Idaho,2006,16.8
Idaho,2007,19.1
Idaho,2008,16.8
Idaho,2009,16.3
Illinois,1984,33.6
Illinois,1986,27.8
Illinois,1988,26.8
Illinois,1990,24.2
Illinois,1992,24.7
Illinois,1993,23.2
Illinois,1995,23.1
Illinois,1996,24.8
Illinois,1997,23.2
Illinois,1998,23.1
Illinois,1999,24.2
Illinois,2000,22.3
Illinois,2001,23.6
Illinois,2002,22.8
Illinois,2003,24.3
Illinois,2004,22.2
Illinois,2005,19.9
Illinois,2006,20.5
Illinois,2007,20.1
Illinois,2008,21.3
Illinois,2009,18.6
Indiana,1984,25.7
Indiana,1986,27.2
Indiana,1988,27.3
Indiana,1990,26.6
Indiana,1992,27.5
Indiana,1993,26.4
Indiana,1995,27.2
Indiana,1996,28.7
Indiana,1997,26.3
Indiana,1998,26
Indiana,1999,27
Indiana,2000,26.9
Indiana,2001,27.5
Indiana,2002,27.6
Indiana,2003,26.1
Indiana,2004,24.8
Indiana,2005,27.3
Indiana,2006,24.1
Indiana,2007,24.1
Indiana,2008,26
Indiana,2009,23.1
Iowa,1984,NA
Iowa,1986,NA
Iowa,1988,22.3
Iowa,1990,21.7
Iowa,1992,20
Iowa,1993,22
Iowa,1995,23.2
Iowa,1996,23.6
Iowa,1997,23.1
Iowa,1998,23.4
Iowa,1999,23.5
Iowa,2000,23.2
Iowa,2001,22.2
Iowa,2002,23.2
Iowa,2003,21.7
Iowa,2004,20.8
Iowa,2005,20.4
Iowa,2006,21.4
Iowa,2007,19.8
Iowa,2008,18.7
Iowa,2009,17.2
Kansas,1984,NA
Kansas,1986,NA
Kansas,1988,NA
Kansas,1990,NA
Kansas,1992,23
Kansas,1993,20.2
Kansas,1995,22
Kansas,1996,22.1
Kansas,1997,22.7
Kansas,1998,21.2
Kansas,1999,21.1
Kansas,2000,21
Kansas,2001,22.2
Kansas,2002,22.1
Kansas,2003,20.4
Kansas,2004,19.8
Kansas,2005,17.8
Kansas,2006,20
Kansas,2007,17.9
Kansas,2008,17.8
Kansas,2009,17.8
Kentucky,1984,NA
Kentucky,1986,34.7
Kentucky,1988,34.2
Kentucky,1990,29.1
Kentucky,1992,28.4
Kentucky,1993,30.1
Kentucky,1995,27.8
Kentucky,1996,31.6
Kentucky,1997,30.8
Kentucky,1998,30.8
Kentucky,1999,29.7
Kentucky,2000,30.5
Kentucky,2001,30.9
Kentucky,2002,32.6
Kentucky,2003,30.8
Kentucky,2004,27.5
Kentucky,2005,28.7
Kentucky,2006,28.5
Kentucky,2007,28.2
Kentucky,2008,25.2
Kentucky,2009,25.6
Louisiana,1984,NA
Louisiana,1986,NA
Louisiana,1988,NA
Louisiana,1990,24.9
Louisiana,1992,24.7
Louisiana,1993,22.4
Louisiana,1995,25.2
Louisiana,1996,25.9
Louisiana,1997,24.6
Louisiana,1998,25.5
Louisiana,1999,23.6
Louisiana,2000,24.1
Louisiana,2001,24.8
Louisiana,2002,23.9
Louisiana,2003,26.5
Louisiana,2004,23.5
Louisiana,2005,22.6
Louisiana,2006,23.4
Louisiana,2007,22.6
Louisiana,2008,20.4
Louisiana,2009,22.1
Maine,1984,NA
Maine,1986,NA
Maine,1988,26.4
Maine,1990,26.9
Maine,1992,23.8
Maine,1993,24.7
Maine,1995,25
Maine,1996,25.3
Maine,1997,22.7
Maine,1998,22.4
Maine,1999,23.3
Maine,2000,23.8
Maine,2001,24
Maine,2002,23.6
Maine,2003,23.7
Maine,2004,20.9
Maine,2005,20.8
Maine,2006,20.9
Maine,2007,20.2
Maine,2008,18.1
Maine,2009,17.3
Maryland,1984,NA
Maryland,1986,NA
Maryland,1988,25.1
Maryland,1990,22
Maryland,1992,20.8
Maryland,1993,19.7
Maryland,1995,21.2
Maryland,1996,21
Maryland,1997,20.6
Maryland,1998,22.4
Maryland,1999,20.3
Maryland,2000,20.5
Maryland,2001,21.3
Maryland,2002,21.9
