country,fertility_rate,life_expectancy,region,population
New Zealand,2.03,81.2,Asia,4474549
Northern Mariana Islands,1.96,78,Asia,53467
Palau,1.71,73.1,Asia,21347
Papua New Guinea,3.1,67.2,Asia,6791317
Samoa,2.77,73.7,Asia,198926
Solomon Islands,3.22,75.3,Asia,635027
Tonga,3.18,76.2,Asia,106513
Tuvalu,2.98,66.5,Asia,10959
Vanuatu,3.16,73.4,Asia,277554
Wallis and Futuna,1.74,79.7,Asia,15664
