Name,Latitude,Longitude
Channel Tunnel,51.024251,1.473161
CN Tower,43.642582,-79.387014
Empire State Building,40.748449,-73.985621
Golden Gate Bridge,37.819912,-122.478266
Itaipu Dam,-25.407833,-54.588889
Netherlands North Sea Protection Works,51.585446,3.623746
Panama Canal,9.161321,-79.725833
