number_texts
0
6
2
3
6
10
10
4
10
3
3
35
0
10
3
1
0
1
50
3
1
20
10
4
1
15
1
0
0
10
20
2
15
20
20
3
100
30
1
10
5
3
100
50
1
1
50
30
0
8
10
1
1
10
6
10
2
120
20
40
0
160
50
10
6
1
10
5
20
10
7
30
1
20
2
50
0
20
5
0
10
20
30
0
0
100
10
2
20
5
15
0
0
50
20
20
60
40
4
5
15
0
10
0
50
20
2
40
4
3
24
25
25
20
1
10
10
400
1
0
100
0
3
20
20
200
3
0
100
5
15
20
2
2
4
4
0
0
15
2
10
50
6
2
10
7
12
1
5
10
1
20
1
2
4
50
0
1
0
1
12
30
25
1
5
10
15
100
2
2
15
10
0
200
20
300
1
10
20
0
20
5
30
2
200
20
1
0
2
5
15
100
1
20
0
0
2
60
4
3
10
30
10
100
150
20
6
25
0
8
5
6
30
10
1
30
1
200
3
10
1
10
5
10
0
1
2
4
15
15
2
3
1
100
6
50
10
0
3
5
50
20
50
5
0
5
50
20
0
2
20
3
3
0
25
0
4
3
0
0
1
1
100
60
1
15
1
100
1
6
50
2
25
30
5
4
3
6
3
3
2
10
1
40
5
10
1
1
0
10
12
0
20
0
60
1
30
12
15
20
12
1
2
2
10
100
10
20
1
70
0
100
3
50
10
20
3
1
2
1
10
20
2
100
5
2
10
2
0
0
0
30
1
25
10
30
25
20
1
10
6
27
20
0
0
50
10
50
5
3
8
5
5
50
15
4
50
0
24
50
40
11
50
6
1
2
1
0
10
1
30
3
20
100
10
10
70
0
1
15
5
400
1
60
35
10
4
5
1
4
100
0
20
5
10
25
2
4
10
10
3
15
3
200
50
7
60
2
3
5
50
10
50
50
30
6
0
5
10
100
5
1
10
0
117
