Name,Latitude,Longitude
Chichen Itza,20.684245,-88.567761
"Christ Redeemer, Brazil",-22.951936,-43.210455
Great Wall,40.431916,116.570343
Machu Picchu,-13.163193,-72.544931
"Petra, Jordan",30.328491,35.444362
Roman Colosseum,41.890186,12.492199
Taj Mahal,27.175244,78.04222
