Year,Percent,Format
2011,79,anyFormat
2012,74,anyFormat
2014,76,anyFormat
2015,72,anyFormat
2016,73,anyFormat
2011,71,print
2012,65,print
2014,69,print
2015,63,print
2016,65,print
2011,17,eBook
2012,23,eBook
2014,28,eBook
2015,27,eBook
2016,28,eBook
2011,11,audiobook
2012,13,audiobook
2014,14,audiobook
2015,12,audiobook
2016,14,audiobook
