sex,pidate_mo,phealth,mhealth,worry,raceorig,ageworkforpay,marstat,educ,employ,age,hrswork,income,lifesat,sleep,selfesteem,worksatis,workdauth,workdemands,workcosupp,worksupsupp,workdiscrim,workineq,posworktofam,negworktofam,suppfam,strainfam,suppfriend,strainfriend,suppspouse,strainspouse,mindful,ratelife,rateday
MALE,7,EXCELLENT,VERY GOOD,ABOUT THE SAME,WHITE,23-30,MARRIED,BACHELOR'S DEGREE,SELF-EMPLOYED,77,25,30000,8.875,7,37,10,23,12,8,NA,6,1.166666667,14,8,3.5,1.75,2.75,1.25,3.5,2,28,8,7
FEMALE,6,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME COLLEGE,NA,69,NA,42000,7.5,7,39,7,NA,NA,NA,NA,NA,NA,NA,NA,3.5,1,3.5,1,3.666666667,1.333333333,40,8,8
MALE,11,GOOD,GOOD,LESS,BLACK AND/OR AFRICAN AMERICAN,18-22,MARRIED,SOME COLLEGE,RETIRED,69,NA,12500,8.75,NA,41,9,NA,NA,NA,NA,NA,NA,NA,NA,4,1.75,4,1.75,4,1.333333333,40,9,9
FEMALE,6,GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,WIDOWED,HIGH SCHOOL/GED,WORKING NOW,71,15,40000,8.75,8,38,8,27,11,7,15,6,1.333333333,8,7,3.75,1.75,3.75,2.25,NA,NA,30,9,8
MALE,10,VERY GOOD,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,WORKING NOW,48,50,115000,8.125,6.5,40,8,23,14,7,10,13,1.5,12,12,3.75,2,2.75,2,3.833333333,2.166666667,39,8,7
FEMALE,7,VERY GOOD,FAIR,MORE,WHITE,< 18,DIVORCED,SOME COLLEGE,WORKING NOW,58,40,30000,8.5,NA,34,8,13,21,6,6,18,1.833333333,10,11,3.75,1.5,4,1.5,NA,NA,41,9,9
MALE,7,GOOD,VERY GOOD,MORE,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,WORKING NOW,53,55,150000,8.625,7,29,9,27,15,8,9,10,1.166666667,12,12,3.75,2.25,3.75,2,3.5,2.666666667,35,9,8
MALE,3,GOOD,GOOD,LESS,OTHER (SPECIFY),< 18,MARRIED,HIGH SCHOOL/GED,RETIRED,83,10,250000,6.5,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1.75,3.5,2,3.833333333,2.166666667,32,7,4
FEMALE,6,VERY GOOD,EXCELLENT,LESS,WHITE,NA,MARRIED,SOME COLLEGE,NA,67,NA,33000,9,7,44,9,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3.5,1,4,1,25,9,7
MALE,6,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,18-22,MARRIED,ASSOC DEGREE,RETIRED,68,NA,82000,8.333333333,5,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,1.5,1.75,3.833333333,2.333333333,30,8,10
FEMALE,6,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,NA,WIDOWED,HIGH SCHOOL/GED,NA,78,NA,NA,9.25,8,43,9,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,NA,NA,37,9,10
FEMALE,7,FAIR,GOOD,ABOUT THE SAME,WHITE,18-22,DIVORCED,HIGH SCHOOL/GED,WORKING NOW,61,40,25000,7,8,28,7,20,14,8,12,13,1.666666667,13,10,3.75,2,3.75,2,NA,NA,37,5,7
FEMALE,7,POOR,GOOD,ABOUT THE SAME,NATIVE AMERICAN OR ALASKA NATIVE ALEUTIAN ISLANDER/ESKIMO,< 18,NEVER MARRIED,SOME K12,WORKING NOW,50,40,16000,3.666666667,4,25,5,19.2,17,7,9,23,2.166666667,13,13,3.25,3,2.75,3.5,NA,NA,36,3,6
FEMALE,6,GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,48,30,NA,8,8,45,8,23,13,8,12,13,1.333333333,13,11,3.5,2,3.75,2.5,3.666666667,2.666666667,35,8,8
FEMALE,8,FAIR,GOOD,ABOUT THE SAME,WHITE,< 18,DIVORCED,ASSOC DEGREE,OTHER,59,NA,90000,8,7,38,7,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2.25,NA,NA,33,8,8
FEMALE,1,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,58,15,7000,8.5,7,43,5,14,9,8,13,6,1.5,12,5,4,1,4,1,4,1,36,9,10
MALE,6,GOOD,FAIR,ABOUT THE SAME,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,WORKING NOW,63,40,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,6,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME COLLEGE,RETIRED,80,NA,9600,8,7,45,8,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1.5,3.5,1.5,3.666666667,2.833333333,43,9,10
MALE,7,GOOD,GOOD,ABOUT THE SAME,WHITE,18-22,WIDOWED,MASTER'S DEGREE,NA,87,NA,NA,6.5,7,31,2,NA,NA,NA,NA,NA,NA,NA,NA,3.25,1.75,1.75,1.5,NA,NA,25,7,7
MALE,8,GOOD,GOOD,ABOUT THE SAME,BLACK AND/OR AFRICAN AMERICAN,23-30,MARRIED,DOCTORAL OR PROF DEGREE,RETIRED,83,4,NA,9.5,6,41,9,25,16,6,9,8,1.333333333,14,9,3,2,2,2,4,2.833333333,45,10,10
FEMALE,8,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,RETIRED,70,NA,25000,9.75,9,43,10,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,4,1.75,3.666666667,1.5,45,10,9
MALE,6,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME COLLEGE,WORKING NOW,45,30,35000,7.75,7.5,39,8,25,13,8,13,6,2,11,12,3.5,2.25,3.5,2.5,4,2.333333333,32,8,7
FEMALE,6,POOR,FAIR,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME COLLEGE,RETIRED,60,NA,NA,6.625,8,32,8,NA,NA,NA,NA,NA,NA,NA,NA,4,2.5,4,2,3.833333333,2.333333333,39,8,9
MALE,6,EXCELLENT,EXCELLENT,LESS,WHITE,18-22,MARRIED,SOME GRADUATE SCHOOL,SELF-EMPLOYED,70,40,75000,9.125,7,33,10,27,11,NA,NA,6,1,15,9,4,1.5,3.5,2,3.833333333,2.333333333,41,8,9
MALE,6,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,RETIRED,63,NA,37000,8,8,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3.75,1.75,3.333333333,2,38,7,7
MALE,7,EXCELLENT,EXCELLENT,LESS,WHITE,18-22,DIVORCED,SOME COLLEGE,WORKING NOW,67,35,38000,7.875,7,45,7,28,16,NA,NA,6,1.5,11,11,3.5,1.25,3.5,1.25,3.833333333,2,45,7,8
FEMALE,8,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,NA,MARRIED,BACHELOR'S DEGREE,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,7,VERY GOOD,EXCELLENT,LESS,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,SELF-EMPLOYED,72,60,150000,9,8.5,43,9,27,15,8,NA,7,1,16,11,4,1,4,1,4,1.5,NA,NA,NA
MALE,6,EXCELLENT,EXCELLENT,LESS,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,RETIRED,71,NA,250000,9,7.5,42,9,NA,NA,NA,NA,NA,NA,NA,NA,3,1.5,2.5,2,4,1.5,26,9,7
FEMALE,7,VERY GOOD,FAIR,LESS,WHITE,NA,WIDOWED,HIGH SCHOOL/GED,NA,74,NA,28000,8,8,29,9,28.8,NA,10,15,7,2,17,6,4,1.25,4,1.25,NA,NA,41,8,8
FEMALE,6,GOOD,GOOD,LESS,OTHER (SPECIFY),NA,DIVORCED,HIGH SCHOOL/GED,NA,78,NA,11000,6,8,47,0,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2.25,2.75,2,NA,NA,36,9,8
MALE,7,GOOD,VERY GOOD,LESS,WHITE,< 18,MARRIED,DOCTORAL OR PROF DEGREE,WORKING NOW,42,40,74800,8.125,7,41,8,25,15,7,11,8,1.166666667,11,12,3.75,2.5,3,2.25,3.5,2.5,31,8,7
FEMALE,7,FAIR,GOOD,NONE,WHITE,< 18,SEPARATED,HIGH SCHOOL/GED,NA,62,NA,8200,8,5.5,40.83333333,8,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,NA,NA,43,10,10
MALE,6,VERY GOOD,GOOD,ABOUT THE SAME,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,NA,61,NA,22000,6.5,6,27,7,NA,NA,NA,NA,NA,NA,NA,NA,4,1.5,2.75,2,3.333333333,2.333333333,29,6,8
FEMALE,8,GOOD,GOOD,LESS,WHITE,NA,MARRIED,SOME COLLEGE,NA,89,NA,25000,9.25,8.5,43,10,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,3.75,1,4,1,43,9,8
FEMALE,6,GOOD,POOR,MORE,WHITE,< 18,DIVORCED,ASSOC DEGREE,WORKING NOW,60,28,26000,2.333333333,5.5,25,0,16,16,4,6,27,3.166666667,9,15,2.75,3.5,2.25,2.5,NA,NA,37,2,2
MALE,7,FAIR,FAIR,MORE,WHITE,18-22,MARRIED,DOCTORAL OR PROF DEGREE,WORKING NOW,53,60,73000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,7,GOOD,VERY GOOD,LESS,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,SELF-EMPLOYED,54,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,6,FAIR,GOOD,LESS,WHITE,< 18,MARRIED,SOME COLLEGE,WORKING NOW,53,35,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,7,GOOD,VERY GOOD,MORE,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,FULL-TIME STUDENT,46,NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,6,EXCELLENT,EXCELLENT,LESS,WHITE,23-30,MARRIED,DOCTORAL OR PROF DEGREE,SELF-EMPLOYED,44,8,12000,8.5,8,40,7,15,14,7,11,6,1.666666667,12,10,3.25,2.5,4,2,3.666666667,3,30,9,7
FEMALE,9,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,NA,WIDOWED,HIGH SCHOOL/GED,NA,80,NA,1081,8,5.5,35,9,NA,NA,NA,NA,NA,NA,NA,NA,4,1.5,3.5,2,NA,NA,32,8,8
MALE,7,GOOD,GOOD,ABOUT THE SAME,WHITE,NA,MARRIED,SOME K12,NA,74,NA,0,8.666666667,8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2.75,2,3.833333333,2.166666667,28,9,9
FEMALE,7,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,WORKING NOW,60,12,40000,10,8.5,35,10,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2.5,3.75,1.75,4,2.5,43,10,10
FEMALE,6,VERY GOOD,EXCELLENT,LESS,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,SELF-EMPLOYED,60,12,15000,8.125,7.5,39,9,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.25,3,2,3.666666667,2.5,32,8,5
MALE,6,FAIR,GOOD,ABOUT THE SAME,WHITE,18-22,DIVORCED,SOME COLLEGE,SELF-EMPLOYED,71,10,20000,7.25,6,29,7,24,11,NA,NA,7,1.666666667,10,8,4,1.5,2,2,NA,NA,31,6,5
FEMALE,5,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,18-22,MARRIED,ASSOC DEGREE,RETIRED,68,NA,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,7,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,DIVORCED,MASTER'S DEGREE,WORKING NOW,64,12,40000,5.25,5,32,4,14,13,6,8,10,2.333333333,9,13,3.75,2,3.666666667,1.75,NA,NA,33,5,5
MALE,7,GOOD,GOOD,LESS,WHITE,< 18,WIDOWED,HIGH SCHOOL/GED,RETIRED,78,NA,50000,9,7.5,44,10,NA,NA,NA,NA,NA,NA,NA,NA,3.5,1,3.25,1,NA,NA,36,8,9
FEMALE,7,POOR,POOR,MORE,NATIVE AMERICAN OR ALASKA NATIVE ALEUTIAN ISLANDER/ESKIMO,< 18,DIVORCED,HIGH SCHOOL/GED,NA,60,NA,0,6.333333333,6,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2.75,3,NA,NA,33,4,3
MALE,7,VERY GOOD,VERY GOOD,LESS,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,SELF-EMPLOYED,56,48,80000,7.625,6.25,37,9,28,12,NA,NA,6,1,14,12,3.5,2.25,3.5,2,3.5,2,35,8,7
FEMALE,6,GOOD,EXCELLENT,ABOUT THE SAME,ASIAN,18-22,MARRIED,BACHELOR'S DEGREE,RETIRED,67,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,6,POOR,FAIR,ABOUT THE SAME,WHITE,NA,DIVORCED,SOME K12,NA,65,NA,12000,2.75,NA,21,4,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2,2,2,NA,NA,36,3,2
MALE,7,VERY GOOD,EXCELLENT,LESS,WHITE,< 18,MARRIED,MASTER'S DEGREE,WORKING NOW,63,35,40,8.25,7.5,39,9,24,16,7,11,10,1,19,10,4,2,4,2,3.833333333,1.666666667,44,9,8
MALE,6,GOOD,EXCELLENT,LESS,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,RETIRED,76,NA,30000,9.25,8,46,10,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,3.75,1,3.833333333,2,33,9,10
MALE,6,VERY GOOD,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME GRADUATE SCHOOL,WORKING NOW,61,45,55000,8.5,7,44,8,16,20,9,11,11,1.333333333,15,12,3.75,2.75,4,1.5,4,1,43,9,9
FEMALE,3,VERY GOOD,GOOD,LESS,WHITE,< 18,MARRIED,ASSOC DEGREE,WORKING NOW,51,40,32000,8.375,8,33,8,14,16,8,10,17,1.5,11,10,4,1,3.5,1.5,2.833333333,3,27,8,6
MALE,9,FAIR,FAIR,MORE,WHITE,< 18,WIDOWED,SOME COLLEGE,RETIRED,68,NA,24000,7.333333333,7,30.33333333,9,25,18,8,12,11,1.833333333,13,10,2.5,2.5,2.75,2,NA,NA,34,6,7
FEMALE,9,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,ASSOC DEGREE,WORKING NOW,49,50,1.00E+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,8,VERY GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,DIVORCED,HIGH SCHOOL/GED,WORKING NOW,48,28,30000,8.375,8,27,10,17,11,10,15,6,1.333333333,11,5,3.25,1.5,2.75,2,2.5,3.166666667,33,7,8
MALE,6,VERY GOOD,EXCELLENT,LESS,WHITE,< 18,MARRIED,MASTER'S DEGREE,SELF-EMPLOYED,71,30,50000,8,7,42,7,24,11,NA,NA,6,1.666666667,9,9,3.75,1.5,1.5,1.75,3.833333333,1.666666667,9,8,9
MALE,8,VERY GOOD,EXCELLENT,ABOUT THE SAME,WHITE,23-30,MARRIED,DOCTORAL OR PROF DEGREE,WORKING NOW,67,65,7.00E+05,9.333333333,6.6,46,9,26,16,8,15,9,1,15,10,3.75,2,3.5,2,4,1.833333333,45,NA,9
FEMALE,10,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,MASTER'S DEGREE,WORKING NOW,47,24,32000,7,8,43,5,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2.75,2.5,1.75,3.833333333,1.333333333,34,7,8
MALE,6,EXCELLENT,EXCELLENT,LESS,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,SELF-EMPLOYED,58,30,70000,8.5,7.5,46,8,24,11,NA,NA,6,1,15,6,4,1,3.75,1.25,4,1,45,8,8
MALE,8,FAIR,GOOD,ABOUT THE SAME,WHITE,NA,WIDOWED,MASTER'S DEGREE,NA,87,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,7,GOOD,VERY GOOD,MORE,WHITE,18-22,MARRIED,MASTER'S DEGREE,WORKING NOW,52,40,1.00E+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,7,FAIR,FAIR,MORE,WHITE,OVER 30,MARRIED,SOME COLLEGE,HOMEMAKER,60,NA,0,4.75,10,28,3,NA,NA,NA,NA,NA,NA,NA,NA,3.25,2.5,2.25,2,2.333333333,2.833333333,32,3,5
MALE,6,FAIR,GOOD,ABOUT THE SAME,WHITE,NA,MARRIED,HIGH SCHOOL/GED,NA,79,NA,40000,8.75,8,34,7,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,4,1.666666667,34,10,10
MALE,8,FAIR,GOOD,LESS,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,RETIRED,61,NA,30000,6.375,5.5,48,7,NA,NA,NA,NA,NA,NA,NA,NA,2.75,1.75,3,2.25,1.833333333,2.666666667,NA,8,7
MALE,4,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,18-22,MARRIED,SOME COLLEGE,WORKING NOW,57,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,6,VERY GOOD,VERY GOOD,MORE,WHITE,NA,WIDOWED,HIGH SCHOOL/GED,NA,72,NA,38000,8.25,7,19,10,NA,NA,NA,NA,NA,NA,NA,NA,3,2.25,3,1.5,NA,NA,29,5,8
FEMALE,6,EXCELLENT,GOOD,MORE,BLACK AND/OR AFRICAN AMERICAN,18-22,DIVORCED,MASTER'S DEGREE,RETIRED,67,NA,75000,7.5,6,25,8,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2,3.25,2,NA,NA,39,6,6
FEMALE,7,EXCELLENT,VERY GOOD,LESS,WHITE,< 18,DIVORCED,MASTER'S DEGREE,RETIRED,78,NA,1500,8.75,7.5,47,8,NA,NA,NA,NA,NA,NA,NA,NA,4,1.5,4,2,NA,NA,44,9,9
MALE,6,FAIR,GOOD,ABOUT THE SAME,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,RETIRED,77,NA,NA,7.75,7,41,8,NA,NA,NA,NA,NA,NA,NA,NA,3.25,2.5,3.25,2,3.666666667,2,36,8,8
FEMALE,7,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,NA,MARRIED,MASTER'S DEGREE,NA,71,NA,70000,9,7,49,10,NA,NA,NA,NA,NA,NA,NA,NA,4,1.5,3.5,1.25,3.333333333,1.5,39,9,7
FEMALE,7,FAIR,FAIR,ABOUT THE SAME,WHITE,NA,MARRIED,SOME K12,NA,78,NA,30000,7.5,8,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1.25,4,1.5,3.833333333,3,35,6,6
FEMALE,6,VERY GOOD,VERY GOOD,LESS,WHITE,18-22,MARRIED,ASSOC DEGREE,RETIRED,66,NA,23000,8.25,NA,44,10,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.5,3.75,2.5,3.833333333,1.833333333,40,8,8
FEMALE,7,FAIR,FAIR,MORE,WHITE,NA,WIDOWED,HIGH SCHOOL/GED,NA,80,NA,17900,7.5,8,27,9,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,NA,NA,34,4,8
MALE,6,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,MASTER'S DEGREE,WORKING NOW,56,42,150000,8.875,7,48,9,22,14,7,12,8,1.166666667,8,6,3.75,2,3,2,3.833333333,2.666666667,27,9,9
FEMALE,6,GOOD,EXCELLENT,LESS,WHITE,NA,MARRIED,MASTER'S DEGREE,NA,77,NA,50000,9.125,7.5,44,10,NA,NA,NA,NA,NA,NA,NA,NA,3,1.25,2.75,1.75,3.833333333,1.666666667,42,9,10
FEMALE,8,VERY GOOD,GOOD,LESS,WHITE,NA,WIDOWED,HIGH SCHOOL/GED,NA,80,NA,50000,10,8,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.5,4,1,NA,NA,36,10,10
MALE,7,VERY GOOD,EXCELLENT,ABOUT THE SAME,WHITE,18-22,MARRIED,MASTER'S DEGREE,WORKING NOW,61,45,68000,9.125,7.5,37,9,26,13,8,13,7,1,14,9,3.25,2,3,2,4,1.833333333,35,9,7
FEMALE,7,VERY GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,DIVORCED,SOME COLLEGE,WORKING NOW,69,24,23000,8.75,6,43,9,17,13,6,9,6,1.166666667,10,7,3.75,1.5,3.5,1.25,NA,NA,32,8,10
MALE,6,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,51,40,NA,9,8,30,8,22,14,9,10,15,2,6,15,3.5,2,3,2,4,1.666666667,27,9,10
FEMALE,7,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,< 18,DIVORCED,MASTER'S DEGREE,WORKING NOW,65,40,80000,7.5,5,42,5,15,16,8,4,10,1.833333333,11,10,2.5,2,2.75,1.75,NA,NA,27,8,6
MALE,7,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,WORKING NOW,60,40,320000,9,6.5,47,9,24,13,8,10,12,1,10,11,3.25,1,2.75,1,3.833333333,2,30,10,9
FEMALE,6,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME COLLEGE,SELF-EMPLOYED,43,60,35000,7.5,6,35,8,25,16,NA,NA,8,1.166666667,8,14,4,2,3,2,1.666666667,3.666666667,36,8,7
MALE,6,GOOD,EXCELLENT,LESS,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,64,40,60000,6.875,7,30,3,18,19,5,6,16,2,10,11,3.75,1.75,2.75,2.25,3.833333333,2,36,9,9
MALE,6,FAIR,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME K12,RETIRED,70,NA,23000,7.75,5.5,42,7,25,14,NA,NA,6,2.5,12,8,3.5,2.75,3.25,2,3.833333333,2.166666667,33,9,9
FEMALE,6,VERY GOOD,EXCELLENT,LESS,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,54,40,22000,8,7,37,6,29,16,6,7,19,2.666666667,12,10,2.5,2.5,3.25,1,3.333333333,2.5,38,9,10
MALE,6,VERY GOOD,VERY GOOD,LESS,WHITE,NA,MARRIED,BACHELOR'S DEGREE,NA,88,NA,5000,8.375,10,43,9,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,NA,NA,3.833333333,2.333333333,41,7,8
FEMALE,6,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,< 18,DIVORCED,BACHELOR'S DEGREE,RETIRED,72,NA,80000,9.666666667,8.5,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,3,1.5,4,1.166666667,36,10,10
MALE,4,GOOD,GOOD,LESS,WHITE,< 18,MARRIED,ASSOC DEGREE,WORKING NOW,56,35,NA,8.125,7,42,8,16,9,8,15,8,1.166666667,11,4,3.75,1,2.25,1,4,1.166666667,18,8,9
MALE,6,VERY GOOD,VERY GOOD,LESS,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,SELF-EMPLOYED,63,35,90000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,6,GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,NEVER MARRIED,BACHELOR'S DEGREE,WORKING NOW,55,37,85000,6.333333333,7,20,9,24,12,6,9,9,1.666666667,7,7,3.25,2.25,3.25,2.75,NA,NA,31,3,8
FEMALE,7,EXCELLENT,GOOD,LESS,WHITE,< 18,DIVORCED,HIGH SCHOOL/GED,RETIRED,69,NA,13000,9,9.5,41,9,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,NA,NA,45,9,10
MALE,8,FAIR,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,RETIRED,76,24,61000,7,8.083333333,31,5,13,11,8,7,6,2,8,4,2.75,1.75,3,1.75,3.666666667,2.333333333,27,7,6
MALE,8,VERY GOOD,GOOD,LESS,WHITE,18-22,MARRIED,HIGH SCHOOL/GED,RETIRED,67,NA,25000,7.625,8.5,41,9,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1.75,3.75,1.75,2.666666667,3.833333333,31,7,6
MALE,6,VERY GOOD,GOOD,LESS,WHITE,NA,DIVORCED,BACHELOR'S DEGREE,NA,66,NA,24000,8.5,6.5,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.25,3.25,2,NA,NA,20,8,5
FEMALE,8,GOOD,VERY GOOD,MORE,WHITE,18-22,MARRIED,HIGH SCHOOL/GED,WORKING NOW,50,50,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,3,EXCELLENT,EXCELLENT,MORE,WHITE,< 18,DIVORCED,ASSOC DEGREE,WORKING NOW,49,42,90000,8.75,4,45,7,30,21,5,8,17,1.666666667,15,6,2.25,3.5,4,1.25,NA,NA,27,9,8
FEMALE,8,VERY GOOD,EXCELLENT,LESS,WHITE,< 18,MARRIED,SOME COLLEGE,RETIRED,70,NA,15000,8.666666667,7,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1.75,3.75,1.75,NA,NA,38,9,7
MALE,7,GOOD,GOOD,NONE,WHITE,NA,MARRIED,SOME K12,NA,74,NA,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,6,GOOD,GOOD,ABOUT THE SAME,WHITE,NA,MARRIED,SOME K12,NA,71,NA,NA,5.166666667,7,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.25,4,1.5,2.166666667,2.833333333,35,6,9
FEMALE,8,FAIR,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME COLLEGE,RETIRED,60,NA,NA,6.875,6,31,8,NA,NA,NA,NA,NA,NA,NA,NA,3.75,3,1.25,1,3.666666667,2.5,36,8,8
