sex,pidate_mo,phealth,mhealth,worry,raceorig,ageworkforpay,marstat,educ,employ,age,hrswork,income,lifesat,sleep,selfesteem,worksatis,workdauth,workdemands,workcosupp,worksupsupp,workdiscrim,workineq,posworktofam,negworktofam,suppfam,strainfam,suppfriend,strainfriend,suppspouse,strainspouse,mindful,ratelife,rateday
MALE,6,GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,SELF-EMPLOYED,76,60,15000,9,7,34,9,NA,13.33333333,7,NA,6,1.5,14,7,3.75,1.25,3.25,1.25,4,1.166666667,37,9,9
FEMALE,6,GOOD,FAIR,ABOUT THE SAME,WHITE,< 18,DIVORCED,SOME COLLEGE,RETIRED,70,NA,94000,7.5,8,25,5,23,18,9,13,9,1.166666667,13,12,3.25,3.25,1.5,1,NA,NA,27,7,5
MALE,7,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,WORKING NOW,42,48,65000,7.125,8,42,7,24,15,6,9,14,1.666666667,12,14,3.5,2,3.25,2,2.833333333,2.833333333,31,7,7
MALE,6,FAIR,GOOD,ABOUT THE SAME,WHITE,< 18,NEVER MARRIED,MASTER'S DEGREE,RETIRED,57,NA,114000,5,7.5,29,3,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1.5,2.5,2,NA,NA,33,6,5
FEMALE,6,GOOD,GOOD,LESS,WHITE,NA,WIDOWED,HIGH SCHOOL/GED,NA,77,NA,15000,8.75,5,37,9,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2.25,3.5,2,NA,NA,36,8,9
FEMALE,8,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,63,36,50000,8.125,7,43,7,18,12,8,11,6,1,13,9,3.75,2.25,3,2,4,1.5,31,8,8
FEMALE,7,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,18-22,NEVER MARRIED,SOME COLLEGE,RETIRED,66,NA,35000,7.666666667,9,48,8,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3,4,1.25,NA,NA,39,9,8
MALE,6,FAIR,EXCELLENT,LESS,WHITE,23-30,MARRIED,MASTER'S DEGREE,RETIRED,68,NA,75000,7.166666667,7,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1.5,4,1,3.166666667,2.5,37,9,8
FEMALE,7,VERY GOOD,EXCELLENT,LESS,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,WORKING NOW,53,40,50000,8,6.5,40,7,14,13,9,12,6,2.333333333,10,9,3.75,2,3.75,1.75,4,2,33,8,7
MALE,9,VERY GOOD,VERY GOOD,LESS,WHITE,18-22,MARRIED,SOME COLLEGE,WORKING NOW,50,50,85000,6.75,8,34,7,24,13,7,12,11,1.5,11,10,3.75,1.25,3.75,1.5,3.666666667,2.666666667,35,6,7
FEMALE,6,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,ASSOC DEGREE,RETIRED,66,NA,20000,9.5,6.25,39,10,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.25,3.75,1,3.833333333,2,33,9,9
MALE,7,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,WORKING NOW,63,45,52000,9.5,7,42,10,27,14,8,NA,6,1,6,4,4,1.25,4,1,4,1.666666667,32,9,7
FEMALE,7,FAIR,FAIR,MORE,WHITE,18-22,MARRIED,MASTER'S DEGREE,WORKING NOW,58,16,35000,4.375,8,24,0,10,15,4,NA,10,3.333333333,4,12,2.75,2.25,3.25,2.75,3.333333333,3.333333333,23,5,5
FEMALE,7,VERY GOOD,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,60,30,15000,8.75,4,43,9,26.4,NA,NA,9,6,1,15,6,4,2.75,3,2.75,3.666666667,3.166666667,45,9,9
MALE,8,VERY GOOD,EXCELLENT,LESS,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,SELF-EMPLOYED,56,60,45000,8.375,8,48,8,30,12,10,NA,6,1,12,10,3.75,2,2.75,2,4,1.5,9,8,8
MALE,6,FAIR,FAIR,ABOUT THE SAME,WHITE,NA,WIDOWED,SOME K12,NA,80,NA,85000,6.333333333,5,37,5,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,3.25,2,NA,NA,38,9,9
FEMALE,6,GOOD,GOOD,ABOUT THE SAME,WHITE,NA,MARRIED,MASTER'S DEGREE,NA,73,NA,7.00E+05,8.166666667,6,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,3.5,1.25,4,1.666666667,34,9,8
MALE,6,VERY GOOD,GOOD,ABOUT THE SAME,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,SELF-EMPLOYED,67,50,180000,7.625,7,34,8,29,14,7,NA,6,1.833333333,11,12,3.5,1.75,3.5,1.75,4,2,35,8,6
MALE,8,VERY GOOD,VERY GOOD,LESS,WHITE,18-22,MARRIED,HIGH SCHOOL/GED,WORKING NOW,64,24,35000,8.375,6,38,7,17,12,9,12,8,1,7,8,3.75,2,4,1.75,4,1.666666667,33,9,9
MALE,6,VERY GOOD,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,MASTER'S DEGREE,RETIRED,66,NA,50000,8.666666667,6,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,3.5,1,4,1.666666667,36,8,7
MALE,6,VERY GOOD,VERY GOOD,LESS,WHITE,< 18,MARRIED,DOCTORAL OR PROF DEGREE,SELF-EMPLOYED,69,30,4.00E+05,8.5,6,41,9,29,13,NA,NA,6,1,15,9,4,2,4,2,3.666666667,3,31,9,9
FEMALE,6,VERY GOOD,VERY GOOD,LESS,NATIVE AMERICAN OR ALASKA NATIVE ALEUTIAN ISLANDER/ESKIMO,< 18,MARRIED,SOME COLLEGE,RETIRED,77,NA,30000,7.25,7,42,4,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3.75,2.25,3.166666667,3.166666667,37,9,10
FEMALE,6,VERY GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,ASSOC DEGREE,WORKING NOW,59,38,32000,7.25,5.5,39,6,19,16,8,12,13,1.833333333,13,12,3.5,2.5,3.5,2.5,3.5,2.333333333,36,8,9
